alpha,c_l,c_d,c_m,converged
11.89,0.543,0.1793,-0.006153,1.0
11.9,0.5435,0.1794,-0.006203,1.0
11.91,0.5435,0.1796,-0.006256,1.0
11.92,0.544,0.1797,-0.006306,1.0
11.93,0.544,0.1798,-0.00636,1.0
11.94,0.5444,0.1799,-0.00641,1.0
11.95,0.5444,0.18,-0.006462,1.0
11.96,0.545,0.1802,-0.00651,1.0
11.97,0.545,0.1803,-0.006565,1.0
11.98,0.545,0.1804,-0.006615,1.0
11.99,0.5454,0.1807,-0.006668,1.0
12.0,0.5454,0.1808,-0.006718,1.0
12.01,0.546,0.1809,-0.00677,1.0
12.02,0.546,0.181,-0.006824,1.0
12.03,0.5464,0.1812,-0.006874,1.0
12.04,0.5464,0.1813,-0.006927,1.0
12.05,0.547,0.1814,-0.006977,1.0
12.06,0.547,0.1815,-0.00703,1.0
12.07,0.5474,0.1816,-0.00708,1.0
12.08,0.5474,0.1818,-0.007133,1.0
12.09,0.548,0.1819,-0.007183,1.0
12.1,0.548,0.182,-0.007236,1.0
12.11,0.5483,0.1821,-0.007286,1.0
12.12,0.5483,0.1823,-0.00734,1.0
12.13,0.5483,0.1824,-0.00739,1.0
12.14,0.549,0.1825,-0.007442,1.0
12.15,0.549,0.1826,-0.007492,1.0
12.16,0.5493,0.1827,-0.007545,1.0
12.17,0.5493,0.1829,-0.007595,1.0
12.18,0.55,0.183,-0.00765,1.0
12.19,0.55,0.1831,-0.0077,1.0
12.2,0.5503,0.1832,-0.00775,1.0
12.21,0.5503,0.1833,-0.007805,1.0
12.22,0.551,0.1835,-0.00786,1.0
12.23,0.551,0.1836,-0.007904,1.0
12.24,0.5513,0.1837,-0.00796,1.0
12.25,0.5513,0.1838,-0.00801,1.0
12.26,0.552,0.184,-0.008064,1.0
12.27,0.552,0.1841,-0.00811,1.0
12.28,0.5522,0.1842,-0.00816,1.0
12.29,0.5522,0.1843,-0.00822,1.0
12.3,0.5527,0.1844,-0.00827,1.0
12.31,0.5527,0.1846,-0.00832,1.0
12.32,0.553,0.1847,-0.00837,1.0
12.33,0.553,0.1848,-0.00842,1.0
12.34,0.553,0.1849,-0.00848,1.0
12.35,0.5537,0.185,-0.00853,1.0
12.36,0.5537,0.1852,-0.008575,1.0
12.37,0.554,0.1853,-0.00863,1.0
12.38,0.554,0.1854,-0.00868,1.0
12.39,0.5547,0.1855,-0.008736,1.0
12.4,0.5547,0.1857,-0.00879,1.0
12.41,0.555,0.1858,-0.008835,1.0
12.42,0.555,0.1859,-0.00889,1.0
12.43,0.5557,0.186,-0.00894,1.0
12.44,0.5557,0.1862,-0.008995,1.0
12.45,0.556,0.1864,-0.00904,1.0
12.46,0.556,0.1865,-0.009094,1.0
12.47,0.5566,0.1866,-0.00915,1.0
12.48,0.5566,0.1868,-0.0092,1.0
12.49,0.557,0.1869,-0.009254,1.0
12.5,0.557,0.187,-0.0093,1.0
12.51,0.5576,0.1871,-0.00935,1.0
12.52,0.5576,0.1873,-0.00941,1.0
12.53,0.558,0.1874,-0.00946,1.0
12.54,0.558,0.1875,-0.00951,1.0
12.55,0.5586,0.1876,-0.00956,1.0
12.56,0.5586,0.1877,-0.00961,1.0
12.57,0.559,0.1879,-0.00967,1.0
12.58,0.559,0.188,-0.00972,1.0
12.59,0.5596,0.1881,-0.009766,1.0
12.6,0.5596,0.1882,-0.00982,1.0
12.61,0.56,0.1884,-0.00987,1.0
12.62,0.56,0.1885,-0.009926,1.0
12.63,0.5605,0.1886,-0.00997,1.0
12.64,0.5605,0.1887,-0.010025,1.0
